"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state"
"CAFE DE LA PRESSE","352 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",50,3559,"CA"
"ESCAPE FROM NEW YORK PIZZA","333 BUSH ST # 104","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"CHINESE COMMUNITY HEALTH PLAN","445 GRANT AVE # 700","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",90,6405,"CA"
"CAFE DOLCI","740 MARKET ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"LEE'S DELI","222 FRONT ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"TAQUERIA MANA","439 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"CAFE VENUE LEIDESDORFF","70 LEIDESDORFF ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"OASIS GRILL","91 DRUMM ST # O","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"CHEESECAKE FACTORY","251 GEARY ST # 8","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",275,19570,"CA"
"PARALLEL 37","600 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"BRINDISI","88 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"L & L HAWAIIAN BARBECUE","312 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"PERBACCO RISTORANTE & BAR","230 CALIFORNIA ST # STLV","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",50,3559,"CA"
"77 CHINESE CUISINE","77 BATTERY ST # 101","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"DAFFODIL RESTAURANT","665 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"FLEUR DE SEL","308 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"AYOLA","327 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHEZ FAYALA","200 PINE ST # 180","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"IL ITAL-U","870 MARKET ST # 813","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHINA GATE GIFTS","531 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MURACCI'S JAPANESE GRILL","307 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"PORTICO RESTAURANT","550 MARKET ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"STEPHEN MACCOUN","98 BATTERY ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAFE CENTRAL","133 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BUN MEE","650 MARKET ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"RAMEN BAR","101 CALIFORNIA ST # 100","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",70,4982,"CA"
"PABU","101 CALIFORNIA ST # 100","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",70,4982,"CA"
"FOUNDATION CAFE","335 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"KISU JAPANESE CUISINE","493 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"FRESH ROLL","220 BUSH ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"MC DONALD'S","441 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",45,3203,"CA"
"SUPER DUPER BURGERS","346 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PAOJAO","380 BUSH ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"OPENTABLE","34 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHINA US VC PLATFORM","388 MARKET ST # 1300","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SAN FRANCISCO PUBC RELATIONS","111 PINE ST # 1530","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HOMAGE","88 HARDIE PL","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"AIOLI CAFE DE LA PRESSE","469 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"JIMMY JOHN'S","120 PINE ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"FRESHFORKS","47 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BURGER BAR LLC","170 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",80,5694,"CA"
"SPECIALTY'S CAFE & BAKERY","333 PINE ST # 4","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SAKURA BISTRO","567 PINE ST # 201","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MIXT","240 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ILLY CAFFE","220 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CRIMSON SV INC","601 CALIFORNIA ST # 1450","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MEATBALL BAR","126 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GITANE RESTAURANT & BAR","239 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GIO GELATO ITALIANO ORIGINALE","333 BUSH ST # 2020","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TOY SOLDIER","52 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"OSHA THAI GEARY INC","432 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUBWAY","170 OFARRELL ST # 428","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"POUSSE CAFE GROUP INC","235 MONTGOMERY ST # 600","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"EMPRESS OF CHINA RESTAURANT","100 BUSH ST # 2180","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"WOK SHOP KITCHEN INC","567 PINE ST # 201","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"EATSA","1 CALIFORNIA ST # STR2","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ROOSTER & RICE","125 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PLANT CAFE ORGANIC","250 MONTGOMERY ST # 100","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"DEEP CHICKEN CORNER","63 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"POT & NOODLE","432 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"A BITE OF CHINA","432 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
