"trt10","tpop","pyoung","pcol","minc","mhval","mrent","pwht","pblk","pasian","phisp","tpop17","pyoung17","pcol17","minc17","mhval17","mrent17","pwht17","pblk17","pasian17","phisp17","gentcat"
47802,3614,28.09,43.310001,89185.5233620414,678220.887620799,1488.73072360617,42.259998,1.1799999,48.439999,4.1500001,3869,32.540001,59.990002,96496,1469300,1901,40.450001,0.51999998,44.790001,10.03,"gentrifying"
47901,6540,27.65,43.630001,97538.4751902757,624121.160977586,1432.94249859524,43.52,2.78,45.110001,4.0799999,7589,22.4,48.490002,99917,1103400,1850,39.029999,1.63,49.200001,4.8099999,"non-gentrifiable"
47902,3539,27.040001,49.290001,93379.0523083414,627490.395856523,1642.8978337269,48.490002,1.1,42.700001,4.1500001,3632,25.190001,64.57,108850,1228700,2142,45.73,0,39.509998,4.98,"non-gentrifiable"
60100,2234,58.549999,74.900002,109790.092883282,1488732.21233689,2465.57905988377,71.75,4.5700002,7.52,9.4399996,4226,39.52,84.18,208000,2000001,3364,68.860001,2.1099999,8.3999996,13.91,"non-gentrifiable"
60400,1517.29771523476,38.869999,57.060001,84408.9850649806,655547.415727908,1640.86523495087,55.07,6.98,25.959999,7.6399999,1596,25.75,57.32,69182,880000,1765,51,5.1999998,25.5,10.46,"non-gentrifying"
60502,3416,26.76,12.32,27332.1017017457,372761.977156768,320.431133003501,2.9000001,45.200001,17.969999,18.879999,3511,23.469999,13.1,29471,732500,395,2.73,27.09,33.32,26.290001,"non-gentrifying"
60700,653.003685045247,36.389999,46.889999,52097.7770933359,146008.926225021,953.680901542112,54.139999,10.36,24.26,6.9499998,13222,42.700001,68.139999,161496,914700,3131,36.77,2.22,44.860001,12.6,"gentrifying"
61000,2400,24.459999,18.4,94449.7861498033,445272.142448492,1413.54982206406,10.42,18.459999,54.080002,12.88,4839,22.32,42.939999,80500,832500,2895,11.82,15.04,60.029999,9.3199997,"non-gentrifiable"
61100,3934,13.04,7.6300001,22294.7916286947,1195645.15363728,476.266998349868,5.0300002,1.55,90.089996,1.8,4477,15.03,12.37,20373,992200,584,2.97,0.22,93.769997,0.18000001,"non-gentrifying"
61200,3561,26.120001,9.5299997,55099.9604576951,341860.563141601,999.589635231317,5.5300002,47.009998,18.08,25.110001,3842,25.27,21.969999,67625,759300,1255,8.0200005,27.950001,29.389999,32.48,"non-gentrifying"
61400,5174,32.619999,51.419998,80674.971008969,617975.982202131,915.834149961112,43.630001,28.16,8.1400003,12.6,6283,30.43,62.849998,135638,1110800,1522,39.439999,9.7600002,22.190001,22.040001,"gentrifying"
61500,5965.21965321177,46.119999,65.610001,118390.338920053,656738.742890724,2437.25607218035,63.610001,8.9099998,16.17,6.8800001,16968,42.349998,79.669998,208425,1226500,2848,44.669998,1.76,42.990002,6.6799998,"non-gentrifiable"
980200,231,12.12,24.02,156321.058233599,1.48873072360617,2033.02130994747,64.07,9.0900002,16.02,8.2299995,312,2.5599999,61.740002,154167,857100,2342,46.790001,16.030001,33.650002,3.53,"non-gentrifiable"
980300,137,50.360001,59.700001,32550.643346815,0,1632.8894820087,66.419998,7.3000002,5.1100001,18.98,63,58.73,93.650002,139375,NA,2225,92.059998,0,7.9400001,0,"gentrifying"
980501,412,20.389999,14.29,102905.117582037,1.48873072360617,1271.80825010523,3.8800001,15.78,53.639999,21.6,507,16.17,8.9200001,12340,708300,280,0,22.49,50.889999,19.92,"non-gentrifiable"
980600,530,26.6,9.8999996,75188.2347342058,282185.102391126,908.870106761566,5.2800002,58.490002,20.190001,12.64,690,26.67,33.400002,66042,745100,881,14.06,33.77,24.639999,21.299999,"gentrifying"
980900,410.884339186985,29.440001,28.16,93040.875284916,484573.617870898,727.679171609332,39.900002,30.9,6.3299999,20.92,253,30.040001,60.48,NA,NA,2727,51.779999,7.1100001,22.129999,18.969999,"non-gentrifiable"
