nhood,tpop17,white17,black17,asian17,hisp17,foreign17,pyoung17,pcol17,pbiz17,pprof17,minc17,mhval17,mrent17,tpop,white,black,asian,hisp,foreign,pyoung,pcol,pbiz,pprof,minc,mhval,mrent,m_minc,pwhite,pblack,pasian,phisp,pwhite17,pblack17,pasian17,phisp17,c_pcol,c_minc,c_mhval,c_mrent,m_c_pcol,m_c_minc,m_c_mhval,m_c_mrent,gentcat
North Beach,11854,5585,309,4468,966,4465,33.563333666666665,58.5,29.563333333333333,27.719999,85475.66666666667,1237100.0,1708.0,12017.0,6088.0,230.0,4916.0,506.0,4584.0,33.236667000000004,49.820001,26.623333,26.410000666666665,80891.53663431872,853762.1785095097,1413.7931370925435,90298.188,50.661562786053096,1.913955230090705,40.90871265706915,4.21070150619955,47.11489792475113,2.606715032900287,37.691918339800914,8.149147966930993,8.679999000000002,4584.130032347952,383337.82149049034,294.2068629074565,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
Oceanview/Merced/Ingleside,27530,3679,2817,15901,4110,12748,25.944000199999998,37.2380002,14.852,24.4619998,90744.2,826380.0,2059.0,22800.0,3003.0000999999997,5622.9998000000005,10156.0,3145.9998,9654.000000000011,26.194,23.4559994,9.16000008,17.256,87385.73105282662,429583.4739055562,1517.1348198959322,90298.188,13.171053070175438,24.662279824561406,44.54385964912281,13.798244736842106,13.363603341808936,10.232473665092625,57.7588085724664,14.92916818016709,13.782000800000002,3358.4689471733727,396796.5260944438,541.8651801040678,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,gentrifying
Outer Mission,25042,3006,313,13753,7159,13987,23.856666666666666,30.306665999999996,12.680000299999998,17.280000666666666,99270.66666666667,885200.0,1795.6666666666667,20505.07521607101,3620.033,340.00255,10204.023000000001,5736.014,12036.02592666099,26.36666666666667,24.199999666666667,8.4033332,19.200000333333332,92262.05364641432,462525.75553469063,1609.1171065288333,90298.188,17.65432685251879,1.6581385165245353,49.763401950374316,27.973630623429045,12.003833559619839,1.2499001677182333,54.91973484545962,28.587972206692758,6.1066663333333295,7008.613020252349,422674.24446530937,186.5495601378334,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable
Outer Richmond,45921,18835,865,20135,3004,15663,25.2690003,60.0870005,22.942000400000005,32.9529997,104864.8,1281450.0,1958.0,44574.0,20069.0,652.0,20218.0,1959.0,20140.0,28.9420003,46.922,18.1809999,30.470000199999998,91520.88775306295,758726.536057418,1472.980766811832,90298.188,45.0240050253511,1.4627361241979628,45.358280612015974,4.39493875353345,41.01609285512075,1.8836697807103504,43.847041658500466,6.541669388732823,13.165000500000005,13343.912246937049,522723.463942582,485.0192331881681,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
Pacific Heights,24279,15780,756,4554,1966,4791,35.53571457142857,82.40714257142858,42.12142871428572,30.85428528571429,165741.14285714287,1557414.5714285714,2441.714285714286,23205.0,18048.0,749.0,2841.0,935.0,4548.0,38.71428557142857,73.14428657142857,36.041429,31.267143142857144,122776.10972275492,1094913.405350054,1886.9412004350083,90298.188,77.77634130575308,3.227752639517346,12.243051066580477,4.029304029304029,64.99443963919437,3.1138020511553193,18.756950451007043,8.09753284731661,9.262856000000014,42965.03313438795,462501.16607851745,554.7730852792774,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
Portola,16331,2457,683,8905,3951,7945,20.7575005,29.427500000000002,13.40750005,22.777499749999997,91096.25,875775.0,1873.0,15370.0,2639.0,1119.0,7775.0,3278.0,8210.0,24.90999975,19.935000000000002,8.8749999,14.765,84860.16503739053,456971.585658342,1410.8799064241125,90298.188,17.169811320754715,7.280416395575797,50.58555627846454,21.32726089785296,15.045006429489927,4.182230114506154,54.52819790582328,24.19325209723838,9.4925,6236.084962609471,418803.414341658,462.1200935758875,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
Potrero Hill,15161,7832,826,3166,2224,3246,32.47999925,76.99750125,32.15749975,44.08,181207.75,1206800.0,2353.5,10542.0,6267.0,1684.9996800000001,815.0,1185.0,1523.0,34.254999500000004,62.250001000000005,23.775,39.62999875,121149.85622565425,758299.973964065,1602.744059727203,90298.188,59.447922595332955,15.9836812749004,7.730980838550559,11.240751280591917,51.658861552668036,5.448189433414682,20.882527537761362,14.669217070114108,14.747500249999995,60057.89377434575,448500.02603593504,750.755940272797,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
Presidio,4226,2910,89,355,588,465,39.52,84.18,29.459999,30.0,208000.0,2000001.0,3364.0,2234.0,1603.0,102.0,168.0,211.0,198.0,58.549999,74.900002,21.110001,29.469999,109790.092883282,1488732.21233689,2465.57905988377,90298.188,71.75470008952551,4.565801253357207,7.520143240823635,9.444941808415399,68.85944155229532,2.106010411736867,8.400378608613346,13.913866540463795,9.279998000000006,98209.907116718,511268.78766311007,898.4209401162302,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
Presidio Heights,10585,7174,112,1967,653,1984,28.164999,81.215,36.634998,35.959998999999996,151176.5,2000001.0,2061.0,9907.0,7284.0,323.0,1565.0,421.0,1849.0,32.1949995,70.254999,33.55,30.965000000000003,141093.347410774,1209649.8994504455,1785.24459838981,90298.188,73.52377107095992,3.2603209851620067,15.796911274856162,4.249520541031593,67.77515351913085,1.0581010864430798,18.58290033065659,6.169107227208313,10.960001000000005,10083.152589225996,790351.1005495545,275.7554016101899,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable
Russian Hill,18139,11552,260,4942,1053,4266,41.17250075,75.08749975,39.42750075,26.332500749999998,141373.0,1340250.0,2234.25,17914.99999999999,11032.0,192.0,5579.0002,638.0,5282.0,36.82249975,59.940000500000004,28.11250025,30.6575005,97322.65824039502,939406.8373053228,1539.5421048130502,90298.188,61.579681830868026,1.0717276025676814,31.141502651409454,3.561261512698858,63.685980484039916,1.4333755995369095,27.245162357351564,5.805171178124483,15.147499250000003,44050.341759604984,400843.16269467724,694.7078951869498,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
Seacliff,2507,1705,0,462,104,431,9.3699999,84.589996,31.879999,42.23,169455.0,2000001.0,2484.0,2451.0,1873.0,11.0,431.0,76.0,516.0,15.22,72.690002,29.459999,36.75,222027.040950005,1488732.21233689,1706.51341933571,90298.188,76.41778865769075,0.44879640962872297,17.584659322725418,3.10077519379845,68.00957319505385,0.0,18.428400478659754,4.148384523334663,11.899993999999992,-52572.040950005,511268.78766311007,777.4865806642899,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable
South of Market,24058,7180,2090,9311,4037,10474,35.355,51.61250125,28.00999975,37.845,88997.5,914000.0,1409.25,13888.77666174298,4791.4201,2054.7165999999997,4636.7823,1668.443,5510.687176295491,31.707499499999997,27.864999500000003,18.09500025,24.44750025,45644.45585758048,645236.5988469403,762.4301225563837,90298.188,34.49850348013803,14.794079061403394,33.38510232346197,12.012886668382913,29.844542355973065,8.687338930916951,38.70230276830991,16.78028098761327,23.747501749999998,43353.04414241952,268763.4011530597,646.8198774436163,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,gentrifying
Sunset/Parkside,82682,26649,1193,43661,6187,33972,24.41142842857143,52.061428714285704,21.239285928571427,32.246429,114902.85714285714,1070307.142857143,2248.0714285714284,74411.0,28331.0,836.0,39232.0,3517.0,35475.0,26.182857142857138,40.16928535714286,16.830000000000002,26.997857071428573,96360.97042967686,580261.3658491723,1807.808929332268,90298.188,38.07367190334762,1.1234898066146133,52.72338767117765,4.726451734286597,32.230715270554654,1.442877530780581,52.80593115793039,7.482886238842795,11.892143357142842,18541.886713180284,490045.7770079706,440.26249923916043,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable
Tenderloin,29927,9527,2810,8638,7217,12579,28.63250025,37.275000375000005,15.983749975,23.526249875,39972.5,767675.0,1126.0,29136.0,10588.5118,2895.2484999999997,8997.137700000001,4793.531199999999,13685.226607997918,33.725,26.545000249999998,11.235000125,16.615000000000002,31648.780119492265,708432.016443556,805.3178319709006,90298.188,36.341679708951126,9.937014346512903,30.879797158154865,16.45226249313564,31.834129715641396,9.389514485247435,28.86356801550439,24.11534734520667,10.730000125000007,8323.719880507735,59242.98355644406,320.68216802909944,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
Treasure Island,3008,840,669,310,783,755,56.349998,38.720001,6.3800001,8.7399998,54375.0,,2106.0,1453.0,898.0,176.0,165.0,148.0,132.0,71.370003,58.810001,22.43,32.610001,124240.467301635,0.0,2596.79610270858,90298.188,61.803165863730214,12.112869924294563,11.355815554026153,10.18582243633861,27.925531914893615,22.2406914893617,10.305851063829788,26.03058510638298,-20.089999999999996,-69865.467301635,,-490.79610270857984,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable
Twin Peaks,7794,4477,256,1556,1082,1741,25.1899995,65.2549995,28.8949995,45.3100015,135160.5,1280400.0,2192.0,7380.32037719692,4908.563,491.8023,1127.4689,560.3339000000001,1288.381575173564,22.2949995,57.944999499999994,24.125,39.489999999999995,118481.251463984,716299.9649943404,1449.9773607383,90298.188,66.50880651693734,6.66369852343441,15.276693183720813,7.592270678807815,57.44162176032845,3.2845778804208368,19.964074929432897,13.882473697716192,7.310000000000002,16679.248536016006,564100.0350056596,742.0226392617001,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
Visitacion Valley,19330,1092,2173,10318,4660,9471,24.3299998,18.235999999999997,11.5100001,11.934000099999999,66290.8,750800.0,1500.6,17656.99999999999,1235.9999599999999,3451.0,8719.999899999999,3161.0,8917.0,26.2139998,16.0560004,6.1720000200000005,12.276,72057.7000110164,375495.154902085,1136.843051374394,90298.188,7.0000564082233705,19.544656510165954,49.385512261426086,17.902248400067972,5.649249870667356,11.24159337816865,53.3781686497672,24.107604759441283,2.1799995999999986,-5766.900011016391,375304.845097915,363.7569486256059,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
West of Twin Peaks,38662,18762,941,13018,4006,10392,17.574285714285715,67.46714357142858,27.845714000000005,35.462857142857146,163316.7142857143,1378814.2857142857,2740.0,35926.92478392899,19622.967,1098.9974,10670.977,3145.986,10681.97407333902,18.80999985714286,54.352856714285714,23.978571714285714,34.16714314285714,139931.908023384,753725.0482048161,1986.2342332076,90298.188,54.61911120424603,3.058979878209918,29.701893674944856,8.756624784672018,48.52827065335472,2.433914437949408,33.67130515751901,10.36159536495784,13.114286857142865,23384.806262330298,625089.2375094696,753.7657667924,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
Western Addition,22607,8881,3849,6130,2102,8158,34.646666833333335,64.35333316666667,28.739999833333332,34.70833366666667,85660.0,840383.3333333334,1625.3333333333333,20739.0,8844.0,5560.0001,3914.0,1377.0,6057.0,35.94333316666667,47.26666716666667,22.495000166666667,29.723333333333333,66079.96844268146,540647.4624739952,1280.3188634967953,90298.188,42.6442933603356,26.809393413375766,18.872655383576838,6.639664400405033,39.28429247578184,17.02570000442341,27.115495200601586,9.298005042685894,17.086666,19580.031557318536,299735.8708593382,345.01446983653796,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
