trt10,tpop17,pyoung17,white17,black17,asian17,hisp17,pwht17,pblk17,pasian17,phisp17,pcol17,pbiz17,pprof17,minc17,mhval17,mrent17,foreign17,pforeign17,tpop,pyoung,white,black,asian,hisp,pwht,pblk,pasian,phisp,pcol,pbiz,pprof,minc,mhval,mrent,foreign,pforeign,m_minc,gentable,gentable2,c_mhval,c_mrent,c_col,c_minc,m_c_mhval,m_c_mrent,m_c_col,m_c_minc,gent,gent2
025401,3775,23.76,2178,43,362,1003,57.700001,1.14,9.5900002,26.57,62.259998,25.93,31.940001,141806,1235200,2103,1027,27.209999,3906,32.099998,1200,219,595,1686,30.719999,5.6100001,15.23,43.16,34.290001,10.09,25.49,78343.0108518687,519426.055174505,1248.80458983484,1609,41.189999,90298.188,1,0,715773.94,854.19543,27.969997,63462.988,461054.94,495.1232,12.879997,22653.719,1,gentrifying
025402,3427,18.15,1180,161,886,1125,34.43,4.6999998,25.85,32.830002,50.389999,22.73,29.200001,136172,1062500,1816,1288,37.580002,3241,26.07,949,239,874,996,29.280001,7.3699999,26.969999,30.73,34.419998,14.18,31.08,101782.582912133,452829.320938362,1422.05276485081,1301,39.599998,90298.188,0,0,609670.69,393.94724,15.970001,34389.418,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
025403,4782,16.23,1294,417,1307,1588,27.059999,8.7200003,27.33,33.209999,42.380001,24.940001,25.459999,108698,1030500,1708,1659,34.689999,4487,29.33,1038,558,1138,1568,23.129999,12.44,25.360001,34.950001,25.57,10.21,18.620001,79842.0841816116,481764.419277483,1231.1803084223,1952,43.93,90298.188,1,0,548735.56,476.8197,16.810001,28855.916,461054.94,495.1232,12.879997,22653.719,1,gentrifying
025500,9684,22.4,2092,135,4085,3017,21.6,1.39,42.18,31.15,42.41,18.780001,20.540001,117745,990200,2082,4441,45.860001,7518.07521607101,25.67,1863.033,86.00255,3109.023,2209.014,24.780001,1.14,41.349998,29.379999,27.73,6.48,22.07,89862.69466331269,476796.707883861,1756.71278159157,3937.02592666099,52.369999,90298.188,1,0,513403.28,325.28723,14.68,27882.305,461054.94,495.1232,12.879997,22653.719,1,gentrifying
025600,5314,17.01,787,90,3074,1131,14.81,1.6900001,57.849998,21.280001,27.719999,12.07,18.4,92813,848600,1560,2545,47.889999,5705,25.309999,899,146,2918,1518,15.76,2.5599999,51.150002,26.610001,23.15,11.01,15.71,99580.1890135299,444661.839515539,1784.12746515421,3256,57.07,90298.188,0,0,403938.16,-224.12747,4.5699997,-6767.189,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
025701,5088,14.64,549,70,2989,1408,10.79,1.38,58.75,27.67,30.790001,7.0900002,23.049999,89375,875600,1924,2436,47.880001,4857,25.719999,783.7779,182.2494,2609.959,1114.566,16.139999,3.75,53.740002,22.950001,15.64,7.8099999,12.13,79916.7437760858,472911.416819457,1345.28760067428,2895.44832447674,59.610001,90298.188,1,0,402688.59,578.7124,15.150001,9458.2559,461054.94,495.1232,12.879997,22653.719,1,gentrifying
025702,4401,20.700001,408,25,2728,1120,9.2700005,.56999999,61.990002,25.450001,19.51,14.18,15.97,75385,921200,1838,2744,62.349998,4364,25.719999,704.2221,163.7506,2345.041,1001.434,16.139999,3.75,53.740002,22.950001,15.64,7.8099999,12.13,79916.743776086,472911.416819457,1345.28760067428,2601.55167552326,59.610001,90298.188,1,0,448288.59,492.7124,3.8699999,-4531.7437,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
025800,2224,21.9,296,154,1096,642,13.31,6.9200001,49.279999,28.870001,31.389999,14.54,26.52,93750,856300,1700,1075,48.34,1871,25.76,228,231,913,423,12.19,12.35,48.799999,22.610001,22.23,6.4099998,15.15,70873.7489708513,413637.568575876,1259.00812117894,815,44.830002,90298.188,1,1,442662.44,440.99188,9.1599998,22876.252,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
025900,4618,25.790001,1204,434,2092,781,26.07,9.3999996,45.299999,16.91,36.02,17.82,25.57,105875,850000,2030,1690,36.599998,4278,22.440001,923,542,1907,739,21.58,12.67,44.580002,17.27,26.23,13.47,19.65,108733.423626539,468425.940418578,1693.93630316895,1898,43.82,90298.188,0,0,381574.06,336.06369,9.7900009,-2858.4236,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
026001,5986,21.42,644,120,2070,2950,10.76,2,34.580002,49.279999,25.360001,13.87,14.98,77534,831100,1711,2990,49.950001,5549,27.969999,755,88,2018,2526,13.61,1.59,36.369999,45.52,16.16,8.4399996,9.3400002,78493.8579871042,449425.396569509,1351.34214539908,3243,58.439999,90298.188,1,0,381674.59,359.65787,9.2000008,-959.85797,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
